Month,Oil_tbpd
Jan-07,5108
Feb-07,5118
Mar-07,5119
Apr-07,5180
May-07,5211
Jun-07,5075
Jul-07,5038
Aug-07,4970
Sep-07,4902
Oct-07,5022
Nov-07,5034
Dec-07,5111
Jan-08,5115
Feb-08,5148
Mar-08,5189
Apr-08,5180
May-08,5143
Jun-08,5138
Jul-08,5177
Aug-08,5003
Sep-08,3974
Oct-08,4738
Nov-08,5078
Dec-08,5103
Jan-09,5144
Feb-09,5239
Mar-09,5219
Apr-09,5278
May-09,5377
Jun-09,5269
Jul-09,5398
Aug-09,5418
Sep-09,5559
Oct-09,5524
Nov-09,5395
Dec-09,5452
Jan-10,5404
Feb-10,5553
Mar-10,5515
Apr-10,5392
May-10,5401
Jun-10,5380
Jul-10,5298
Aug-10,5447
Sep-10,5616
Oct-10,5631
Nov-10,5576
Dec-10,5607
Jan-11,5497
Feb-11,5406
Mar-11,5618
Apr-11,5562
May-11,5625
Jun-11,5589
Jul-11,5440
Aug-11,5665
Sep-11,5614
Oct-11,5902
Nov-11,6039
Dec-11,6112
Jan-12,6177
Feb-12,6268
Mar-12,6327
Apr-12,6320
May-12,6370
Jun-12,6275
Jul-12,6431
Aug-12,6351
Sep-12,6598
Oct-12,6970
Nov-12,7082
Dec-12,7106
Jan-13,7083
Feb-13,7145
Mar-13,7214
Apr-13,7374
May-13,7326
Jun-13,7277
Jul-13,7522
Aug-13,7534
Sep-13,7838
Oct-13,7760
Nov-13,7919
Dec-13,7932
Jan-14,8077
Feb-14,8141
Mar-14,8296
Apr-14,8526
May-14,8645
Jun-14,8742
Jul-14,8846
Aug-14,8931
Sep-14,9086
Oct-14,9265
Nov-14,9324
Dec-14,9563
Jan-15,9383
Feb-15,9490
Mar-15,9583
Apr-15,9658
May-15,9474
Jun-15,9357
Jul-15,9445
Aug-15,9409
Sep-15,9477
Oct-15,9399
Nov-15,9332
Dec-15,9275
Jan-16,9201
Feb-16,9060
Mar-16,9100
Apr-16,8873
May-16,8834
Jun-16,8675
Jul-16,8661
Aug-16,8689
Sep-16,8543
Oct-16,8803
Nov-16,8902
Dec-16,8815
Jan-17,8874
Feb-17,9094
Mar-17,9164
Apr-17,9101
May-17,9185
Jun-17,9110
Jul-17,9246
Aug-17,9250
Sep-17,9516
Oct-17,9668
Nov-17,10085
Dec-17,9983
Jan-18,10000
Feb-18,10262
Mar-18,10466
Apr-18,10499
May-18,10434
Jun-18,10640
Jul-18,10896
Aug-18,11391
Sep-18,11443
Oct-18,11508
Nov-18,11885
Dec-18,11944
Jan-19,11871
Feb-19,11652
Mar-19,11911
Apr-19,12145
May-19,12153
Jun-19,12216
Jul-19,11896
Aug-19,12479
Sep-19,12584
Oct-19,12805
Nov-19,13000
Dec-19,12980
Jan-20,12850
Feb-20,12844
Mar-20,12795
Apr-20,11911
May-20,9714
Jun-20,10446
Jul-20,11004
Aug-20,10579
Sep-20,10926
Oct-20,10456
Nov-20,11196
Dec-20,11172
Jan-21,11137
Feb-21,9916
Mar-21,11351
Apr-21,11318
May-21,11390
Jun-21,11366
Jul-21,11392
Aug-21,11276
Sep-21,10921
Oct-21,11564
Nov-21,11782
Dec-21,11678
Jan-22,11480
Feb-22,11258
Mar-22,11806
Apr-22,11770
May-22,11734
Jun-22,11800
Jul-22,11834
Aug-22,11985
Sep-22,12325
Oct-22,12378
Nov-22,12376
Dec-22,12138
